year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
1989,M,1,Exponential,(rate-shift),0.011294598,0.000000,,
1989,M,2,Exponential,(rate-shift),0.004559814,0.000000,,
1989,M,3,Exponential,(rate-shift),0.002434396,0.000000,,
1989,M,4,Exponential,(rate-shift),0.001679925,0.000000,,
1989,M,5,Exponential,(rate-shift),0.001308332,0.000000,,
1989,M,6,Exponential,(rate-shift),0.001076602,0.000000,,
1989,M,7,Exponential,(rate-shift),8.86117e-4,0.000000,,
1989,M,8,Exponential,(rate-shift),7.64883e-4,0.000000,,
1989,M,9,Exponential,(rate-shift),6.62457e-4,0.000000,,
1989,M,10,Exponential,(rate-shift),6.1923e-4,0.000000,,
1989,M,11,Exponential,(rate-shift),6.61232e-4,0.000000,,
1989,M,12,Exponential,(rate-shift),7.76197e-4,0.000000,,
1989,M,13,Exponential,(rate-shift),9.80215e-4,0.000000,,
1989,M,14,Exponential,(rate-shift),0.00125587,0.000000,,
1989,M,15,Exponential,(rate-shift),0.001552674,0.000000,,
1989,M,16,Exponential,(rate-shift),0.001895735,0.000000,,
1989,M,17,Exponential,(rate-shift),0.002286525,0.000000,,
1989,M,18,Exponential,(rate-shift),0.002718657,0.000000,,
1989,M,19,Exponential,(rate-shift),0.003177167,0.000000,,
1989,M,20,Exponential,(rate-shift),0.003648188,0.000000,,
1989,M,21,Exponential,(rate-shift),0.004104122,0.000000,,
1989,M,22,Exponential,(rate-shift),0.004509473,0.000000,,
1989,M,23,Exponential,(rate-shift),0.004845681,0.000000,,
1989,M,24,Exponential,(rate-shift),0.005117201,0.000000,,
1989,M,25,Exponential,(rate-shift),0.005338654,0.000000,,
1989,M,26,Exponential,(rate-shift),0.005505518,0.000000,,
1989,M,27,Exponential,(rate-shift),0.005635397,0.000000,,
1989,M,28,Exponential,(rate-shift),0.005767742,0.000000,,
1989,M,29,Exponential,(rate-shift),0.005914013,0.000000,,
1989,M,30,Exponential,(rate-shift),0.006058808,0.000000,,
1989,M,31,Exponential,(rate-shift),0.006178354,0.000000,,
1989,M,32,Exponential,(rate-shift),0.006283723,0.000000,,
1989,M,33,Exponential,(rate-shift),0.006389699,0.000000,,
1989,M,34,Exponential,(rate-shift),0.006502167,0.000000,,
1989,M,35,Exponential,(rate-shift),0.006629394,0.000000,,
1989,M,36,Exponential,(rate-shift),0.006800292,0.000000,,
1989,M,37,Exponential,(rate-shift),0.007031394,0.000000,,
1989,M,38,Exponential,(rate-shift),0.007321295,0.000000,,
1989,M,39,Exponential,(rate-shift),0.00767254,0.000000,,
1989,M,40,Exponential,(rate-shift),0.008078042,0.000000,,
1989,M,41,Exponential,(rate-shift),0.008531601,0.000000,,
1989,M,42,Exponential,(rate-shift),0.009033537,0.000000,,
1989,M,43,Exponential,(rate-shift),0.009576512,0.000000,,
1989,M,44,Exponential,(rate-shift),0.010159773,0.000000,,
1989,M,45,Exponential,(rate-shift),0.010796845,0.000000,,
1989,M,46,Exponential,(rate-shift),0.011530093,0.000000,,
1989,M,47,Exponential,(rate-shift),0.012370398,0.000000,,
1989,M,48,Exponential,(rate-shift),0.013316822,0.000000,,
1989,M,49,Exponential,(rate-shift),0.014373915,0.000000,,
1989,M,50,Exponential,(rate-shift),0.015532357,0.000000,,
1989,M,51,Exponential,(rate-shift),0.016744184,0.000000,,
1989,M,52,Exponential,(rate-shift),0.01795997,0.000000,,
1989,M,53,Exponential,(rate-shift),0.019165017,0.000000,,
1989,M,54,Exponential,(rate-shift),0.020357946,0.000000,,
1989,M,55,Exponential,(rate-shift),0.02154379,0.000000,,
1989,M,56,Exponential,(rate-shift),0.022769118,0.000000,,
1989,M,57,Exponential,(rate-shift),0.024066475,0.000000,,
1989,M,58,Exponential,(rate-shift),0.025427127,0.000000,,
1989,M,59,Exponential,(rate-shift),0.026869426,0.000000,,
1989,M,60,Exponential,(rate-shift),0.028437235,0.000000,,
1989,M,61,Exponential,(rate-shift),0.030170746,0.000000,,
1989,M,62,Exponential,(rate-shift),0.032092821,0.000000,,
1989,M,63,Exponential,(rate-shift),0.034214948,0.000000,,
1989,M,64,Exponential,(rate-shift),0.03654259,0.000000,,
1989,M,65,Exponential,(rate-shift),0.039055251,0.000000,,
